RespId,educ,race,gender,income_cat,voter_category
470501,High school or less,White,Female,Less than $40k,sporadic
470502,College,White,Female,$125k or more,always
470503,College,White,Male,$125k or more,sporadic
470504,High school or less,White,Male,$40-75k,sporadic
470505,College,Black,Male,$75-125k,always
470506,Some college,Black,Female,Less than $40k,always
480540,College,White,Male,$75-125k,sporadic
470507,College,White,Male,$125k or more,always
470508,High school or less,White,Male,$40-75k,always
470513,College,White,Female,$75-125k,always
470514,Some college,Black,Female,$75-125k,rarely/never
470515,Some college,White,Female,$75-125k,always
470517,College,White,Female,$40-75k,always
470518,College,White,Male,Less than $40k,always
470519,High school or less,White,Female,$125k or more,always
470520,College,White,Male,$125k or more,always
470521,High school or less,White,Female,$75-125k,always
470523,High school or less,White,Female,$75-125k,rarely/never
470524,College,White,Female,$125k or more,sporadic
470525,College,White,Female,$125k or more,sporadic
470526,Some college,White,Male,$40-75k,always
470527,High school or less,White,Female,$75-125k,always
470528,Some college,White,Male,$75-125k,sporadic
470529,College,White,Male,$125k or more,always
470530,High school or less,White,Male,$75-125k,always
470531,Some college,White,Male,$40-75k,always
470532,Some college,Black,Female,Less than $40k,sporadic
470535,Some college,White,Male,$125k or more,always
470536,High school or less,White,Female,$40-75k,rarely/never
470540,College,White,Male,$125k or more,sporadic
470541,Some college,Other/Mixed,Male,$40-75k,sporadic
470542,College,White,Female,Less than $40k,always
470543,Some college,White,Female,$40-75k,sporadic
470545,High school or less,White,Male,Less than $40k,sporadic
470547,College,White,Male,$125k or more,always
470548,College,Black,Male,Less than $40k,sporadic
470549,Some college,White,Male,Less than $40k,sporadic
470550,High school or less,White,Female,Less than $40k,rarely/never
470552,High school or less,White,Male,$125k or more,always
470554,College,White,Male,$125k or more,always
470556,College,White,Female,$125k or more,sporadic
470557,High school or less,White,Female,$75-125k,always
470558,High school or less,White,Female,$40-75k,always
470559,Some college,White,Female,Less than $40k,sporadic
470560,College,Black,Male,$40-75k,always
470561,College,Hispanic,Female,$125k or more,always
470562,High school or less,White,Male,$75-125k,always
470564,High school or less,White,Male,Less than $40k,rarely/never
470565,College,Other/Mixed,Male,$125k or more,sporadic
470567,Some college,White,Female,$125k or more,rarely/never
470568,High school or less,White,Female,Less than $40k,sporadic
470570,Some college,White,Female,Less than $40k,rarely/never
470571,High school or less,White,Male,Less than $40k,sporadic
470572,High school or less,White,Female,$125k or more,rarely/never
470573,Some college,White,Female,$125k or more,always
470574,Some college,White,Male,$40-75k,always
470575,College,White,Male,Less than $40k,rarely/never
470576,College,Black,Male,$75-125k,rarely/never
470577,Some college,Black,Male,$40-75k,sporadic
480614,High school or less,White,Male,$40-75k,always
470580,High school or less,White,Female,Less than $40k,sporadic
470581,College,Hispanic,Female,$75-125k,always
470582,Some college,White,Female,Less than $40k,sporadic
470583,Some college,White,Female,$40-75k,always
480620,College,Black,Male,Less than $40k,rarely/never
470584,College,White,Male,$40-75k,sporadic
470585,College,White,Female,$75-125k,sporadic
470586,Some college,White,Male,$75-125k,always
470587,Some college,White,Male,$40-75k,always
470589,College,White,Male,Less than $40k,always
470591,Some college,White,Male,$40-75k,sporadic
470593,College,White,Female,$75-125k,sporadic
470595,College,White,Female,$125k or more,always
470596,High school or less,White,Female,Less than $40k,always
470597,High school or less,White,Female,Less than $40k,always
470599,Some college,Black,Male,$40-75k,always
470600,High school or less,Black,Female,Less than $40k,rarely/never
470601,College,Black,Female,$125k or more,always
470602,College,Hispanic,Male,$125k or more,always
470605,Some college,Black,Male,Less than $40k,always
470607,High school or less,White,Female,Less than $40k,sporadic
470608,High school or less,White,Female,$75-125k,rarely/never
470609,College,White,Male,$125k or more,always
470612,Some college,White,Female,$75-125k,always
470613,Some college,White,Male,Less than $40k,sporadic
470614,High school or less,White,Male,$75-125k,rarely/never
470615,High school or less,White,Female,$40-75k,sporadic
470617,College,White,Male,$125k or more,always
